epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0943,2.8996,5.2735,1.02904,0,0,0,0,2.34336,5.08044,0.89883,0.00018577,0.00018577,0.00018577
2,109.809,2.15438,3.02247,0.87936,0,0,0,0,2.13009,4.90389,0.85741,0.00038201,0.00038201,0.00038201
3,161.719,1.8005,2.5512,0.84716,0,0,0,0,1.78822,4.62384,0.82148,0.000574289,0.000574289,0.000574289
4,213.735,1.61246,2.17585,0.83562,0.00482,0.2439,0.00716,0.00452,1.43888,4.07632,0.80129,0.000762607,0.000762607,0.000762607
5,269.158,1.59497,1.94111,0.83198,0.01387,0.65031,0.51905,0.32332,1.605,3.57167,0.82528,0.000946964,0.000946964,0.000946964
6,328.698,1.528,1.75955,0.82039,0.99435,0.63565,0.66242,0.41529,1.39508,2.98353,0.81029,0.00112736,0.00112736,0.00112736
7,387.278,1.49707,1.67108,0.8218,0.99427,0.49549,0.66027,0.41787,1.45798,2.78665,0.81771,0.00130379,0.00130379,0.00130379
8,447.582,1.51882,1.58491,0.82707,0.94296,0.65132,0.8135,0.50218,1.24993,1.89155,0.80392,0.00132997,0.00132997,0.00132997
9,509.34,1.47941,1.48496,0.81968,0.97196,0.63268,0.73008,0.4549,1.24036,1.59076,0.80344,0.00131582,0.00131582,0.00131582
10,569.085,1.31147,1.36259,0.81716,0.81757,0.67681,0.72453,0.47823,1.23472,1.60047,0.79764,0.00130168,0.00130168,0.00130168
11,628.588,1.34182,1.28176,0.80686,0.81989,0.73262,0.76498,0.47104,1.27035,1.24853,0.79468,0.00128753,0.00128753,0.00128753
12,697.448,1.22179,1.16219,0.80685,0.7697,0.72027,0.71539,0.47046,1.1608,1.19602,0.79821,0.00127338,0.00127338,0.00127338
13,759.429,1.16115,1.10972,0.80812,0.84207,0.8164,0.83876,0.54236,1.04101,1.01586,0.79231,0.00125923,0.00125923,0.00125923
14,838.39,1.15768,1.05459,0.80904,0.94858,0.88371,0.86806,0.5563,1.05852,1.029,0.79455,0.00124509,0.00124509,0.00124509
15,906.109,1.20721,1.07561,0.80636,0.9778,0.89168,0.89975,0.59563,0.99539,0.96886,0.78786,0.00123094,0.00123094,0.00123094
16,971.704,1.22662,1.01442,0.80643,0.84319,0.78675,0.78955,0.50796,1.03976,0.91159,0.78712,0.00121679,0.00121679,0.00121679
17,1036.45,1.11717,0.92252,0.80424,0.8911,0.84751,0.86356,0.5635,1.11781,0.93254,0.79596,0.00120265,0.00120265,0.00120265
18,1117.2,1.1157,0.93145,0.81662,0.94675,0.88536,0.89133,0.56735,1.15248,0.88426,0.79024,0.0011885,0.0011885,0.0011885
19,1217.74,1.14719,0.90841,0.80173,0.93521,0.86119,0.89083,0.57046,1.17926,0.84412,0.79245,0.00117435,0.00117435,0.00117435
20,1280.43,1.14512,0.89646,0.80228,0.93272,0.86062,0.83734,0.52375,1.08781,0.82093,0.78923,0.00116021,0.00116021,0.00116021
21,1320.37,1.18014,0.87706,0.80802,0.9039,0.83228,0.81156,0.53503,0.96436,0.77819,0.78533,0.00114606,0.00114606,0.00114606
22,1363.5,1.13511,0.84005,0.80004,0.95279,0.887,0.8855,0.58031,1.03261,0.72845,0.78643,0.00113191,0.00113191,0.00113191
23,1399.19,1.14513,0.82208,0.80443,0.96301,0.89494,0.90804,0.58732,1.08659,0.76161,0.79202,0.00111776,0.00111776,0.00111776
24,1434.91,1.06555,0.77352,0.80016,0.96578,0.88794,0.8846,0.60533,0.92124,0.69101,0.78684,0.00110362,0.00110362,0.00110362
25,1471.02,1.06002,0.7519,0.80524,0.97929,0.89914,0.90949,0.5976,0.92733,0.69016,0.78648,0.00108947,0.00108947,0.00108947
